name,peak_frequency,family,body_mass
strepera_graculina,1550.4,cracticidae,299.5
corvus_crassirostris,1012.1,corvidae,1135
icterus_croconotus,2325.6,icteridae,54.5
corvus_brachyrhynchos,1378.1,corvidae,452.75
calocitta_formosa,2928.5,corvidae,210
anthochaera_carunculata,1550.4,meliphagidae,106.35
prosthemadera_novaeseelandiae,1894.9,meliphagidae,107.3
corvinella_corvina,3789.8,laniidae,65.4
agelaius_phoeniceus,2928.5,icteridae,52.4
chlorothraupis_carmioli,2497.85,cardinalidae,37.8
eremophila_alpestris,5340.2,alaudidae,33.5333333333333
malurus_pulcherrimus,7665.8,maluridae,9.2
regulus_ignicapilla,7579.7,reguliidae,6.4
troglodytes_troglodytes,6115.45,troglodytidae,10.2714285714286
