file,ref,name,sciname,peak_frequency,body_mass
1,XC96286,Mistle Thrush,Turdus viscivorus,2756.2,117.5
2,XC599692,Common Wood Pigeon,Columba palumbus,602.4,450
3,XC602930,Eurasian Treecreeper,Certhia familiaris,5684.8,9
4,XC593269,Rook,Corvus frugilegus,1550.4,453.5
5,XC535366,Great Tit,Parus major,4478.9,18
6,XC364915,Dunnock,Prunella modularis,4995.7,20.25
7,XC391041,Eurasian Blackcap,Sylvia atricapilla,3789.85,18.7
8,XC621184,Eurasian Blue Tit,Cyanistes caeruleus,6029.3,10.35
9,XC632487,Eurasian Wren,Troglodytes troglodytes,6115.45,10.2714285714286
10,XC32006,Stock Dove,Columba oenas,562,300
11,XC602375,Goldcrest,Regulus regulus,6718.4,5.8
12,XC550307,European Robin,Erithacus rubecula,4392.8,15.1
13,XC555078,Common Chaffinch,Fringilla coelebs,3273,24.5666666666667
14,XC583789,Common Blackbird,Turdus merula,2670.1,103.2
15,XC555014,Song Thrush,Turdus philomelos,3273,67.75
